NO,NAMA KELUHAN,GEJALA PENYERTA / PEMBEDA,TINGKAT URGENSI,REKOMENDASI TINDAKAN,REKOMENDASI PRODUK/OBAT,KONDISI BAHAYA / RED FLAG,WAJIB DISCLAIMER,CATATAN KHUSUS
1,Nyeri Dada,"Nyeri terasa tajam atau seperti tertarik; dapat ditunjuk dengan satu jari; bertambah saat bergerak, mengangkat beban, batuk, atau ditekan; biasanya tidak menjalar; sering setelah aktivitas fisik",RINGAN,1. Istirahat 15-20 mnt; 2. Kompres hangat area nyeri; 3. Minum air putih yg cukup,Counterpain Cool (oles 2x/hari); atau Paracetamol 500mg jika nyeri,Sesak; nyeri menjalar; keringat dingin; nyeri tidak membaik ,YA,Kemungkinan diagnosis: nyeri otot dada/costochondritis. Lansia perlu waspada bila nyeri baru muncul mendadak
2,Nyeri Dada,Perih/panas setelah makan; membaik dgn antasida; tidak menjalar; rasa asam di mulut,RINGAN,"1. Duduk tegak, jangan langsung tiduran; 2. Hindari makan pedas/asam; 3. Minum antasida","Antasida cair 10ml setelah makan (max 3x/hari); atau 
Omeprazole 20 mg sebelum makan (2x sehari)",Jika tidak membaik >3 hari → rujuk ke dokter,YA,"Pada ibu hamil lebih sering terjadi akibat peningkatan tekanan perut dan hormon kehamilan. Pada lansia, keluhan maag dapat menyerupai nyeri jantung"
3,Nyeri Dada,"Nyeri terasa ditekan, dihimpit, diremas, atau tertindih beban berat; biasanya di tengah/kiri dada; muncul saat aktivitas, naik tangga, stres emosional; membaik saat istirahat; dapat menjalar ke lengan kiri, bahu, rahang, leher, atau punggung",BAHAYA,1. Hentikan aktivitas; 2. Duduk dan istirahat; 3. Segera evaluasi medis,-,⚠️ SEGERA minta seseorang antarkan ke IGD terdekat,SELALU,"Kemungkinan diagnosis: angina stabil/tidak stabil. Perokok, hipertensi, diabetes, dan kolesterol tinggi berisiko tinggi"
4,Jantung berdebar,"Jantung terasa lompat-lompat, tidak teratur, kadang seperti berhenti sesaat lalu berdetak keras; dapat disertai pusing, lemas, hampir pingsan; denyut dapat >150 x/menit atau tidak teratur",BAHAYA,1. Hentikan aktivitas; 2. Segera evaluasi medis,-,Pingsan; sesak; nyeri dada; denyut sangat cepat/lambat,SELALU,"Kemungkinan diagnosis: fibrilasi atrium, SVT, PVC. Lansia berisiko stroke"
4,Jantung berdebar,"Jantung terasa cepat atau berdebar kuat; muncul saat cemas, panik, habis minum kopi/energi drink, kurang tidur  denyut biasanya teratur; heart rate umumnya 100–120 x/menit ",SEDANG,1. Istirahat; 2. Kurangi kafein; 3. Tidur cukup; 4. Kelola stres,,Pingsan; nyeri dada; sesak; denyut sangat cepat/tidak teratur menetap → IGD,YA,"Kemungkinan diagnosis: palpitasi fungsional, aritmia ringan, gangguan cemas. Lansia berisiko fibrilasi atrium"
5,Luka kaki sulit sembuh,"Luka pada kaki/tungkai yang tidak membaik dalam beberapa hari–minggu, dapat disertai nyeri, mati rasa, kaki dingin, kulit menghitam, bengkak, kemerahan, atau keluar cairan/nanah. Pada sebagian pasien diabetes nyeri bisa minimal karena gangguan saraf",SEDANG,1. Bersihkan luka dengan air mengalir/NaCl; 2. Tutup dengan kasa bersih; 3. Kurangi tekanan pada kaki/luka; 4. Kontrol gula darah bila diabetes; 5. Segera evaluasi ke dokter untuk pemeriksaan pembuluh darah dan infeksi,NaCl untuk membersihkan luka; kasa steril,"Luka menghitam, bau busuk, demam, nyeri hebat, bengkak cepat, keluar nanah banyak, kaki pucat/dingin, mati rasa luas, demam, atau luka semakin dalam → segera ke IGD ",YA,"Sangat sering pada pasien diabetes, perokok, hipertensi, kolesterol tinggi, obesitas, penyakit ginjal, dan lansia akibat gangguan aliran darah atau saraf. Pada diabetesi luka kecil dapat cepat memburuk tanpa terasa nyeri. Perokok memiliki risiko tinggi penyempitan pembuluh darah sehingga penyembuhan lebih lambat. Jangan berjalan tanpa alas kaki pada pasien diabetes. Hindari mengoles bahan sembarangan atau memijat area luka. Bila terdapat warna hitam/kebiruan curiga gangren dan perlu penanganan segera"
6,Sesak Napas saat Aktivitas ,"Sesak muncul saat jalan cepat, naik tangga, atau aktivitas ringan; dapat disertai cepat lelah dan dada terasa berat; membaik saat istirahat",SEDANG,1. Hentikan aktivitas dan istirahat; 2. Duduk tegak/semi-Fowler; 3. Hindari aktivitas berat sementara; 4. Catat kapan sesak muncul dan pencetusnya; 5. Evaluasi medis bila sering kambuh,-,"Sesak memburuk cepat, nyeri dada, bibir/kuku kebiruan, pingsan, batuk berbusa merah muda, tidak bisa bicara kalimat panjang, saturasi rendah",YA,"Kemungkinan diagnosis: gagal jantung awal, penyakit jantung koroner, anemia. Lansia berisiko gagal jantung"
14,Sesak Napas saat Tidur,Sesak muncul saat berbaring dan membaik saat duduk; sering memakai bantal tinggi saat tidur,BAHAYA,1. Tidur dengan posisi kepala lebih tinggi; 2. Segera evaluasi medis,-,"Sesak progresif, batuk berbusa",SELALU,Khas pada gagal jantung. Pasien sering tidur dengan banyak bantal atau terbangun malam karena sesak. Risiko lebih tinggi pada hipertensi lama dan penyakit jantung koroner.
15,Kaki Bengkak Kedua Sisi,Bengkak pada kedua kaki/pergelangan kaki; terasa berat; lebih jelas sore hari; dapat meninggalkan cekungan saat ditekan,SEDANG,1. Tinggikan kaki saat duduk/tidur; 2. Kurangi garam; 3. Hindari berdiri lama,Stocking kompresi ,Sesak; bengkak cepat membesar; nyeri dada,YA,"Pada ibu hamil dapat terjadi akibat penumpukan cairan, namun bila disertai tekanan darah tinggi perlu waspadai preeklamsia"
16,Kaki Bengkak Satu Sisi,"Bengkak hanya satu kaki; dapat disertai nyeri, kemerahan, hangat",BAHAYA,1. Jangan dipijat; 2. Hindari aktivitas berat; 3. Segera periksa,-,Sesak mendadak; nyeri dada; batuk darah,SELALU,"Pada ibu hamil, pasca operasi, atau pasien tirah baring lama lebih berisiko pembekuan darah/DVT"
,Cepat Lelah saat Aktivitas Ringan,Mudah lelah saat berjalan pendek atau aktivitas biasa; dapat disertai sesak atau berdebar,SEDANG,1. Kurangi aktivitas berat; 2. Cukup istirahat; 3. Evaluasi faktor risiko jantung,-,Sesak berat; nyeri dada; pingsan,YA,Pada lansia dapat berkaitan dengan penurunan fungsi jantung. Pada pasien anemia atau penyakit kronis keluhan dapat lebih bera
,Denyut Jantung Lambat,"Detak terasa lambat; heart rate <60 x/menit; dapat disertai lemas, pusing, mengantuk",SEDANG,1. Istirahat; 2. Monitor denyut bila memungkinkan; 3. Periksa bila berulang,-,Heart rate <40 x/menit; pingsan; sesak,YA,Pada atlet dapat normal. Pada lansia atau pasien pengguna obat jantung tertentu perlu evaluasi bila disertai gejala
,Nyeri Rahang/Bahu terkait Jantung,"Nyeri atau pegal di rahang, bahu kiri, lengan kiri tanpa cedera jelas; dapat disertai dada terasa berat",BAHAYA,1. Hentikan aktivitas; 2. Evaluasi medis segera,-,Sesak; keringat dingin; mual,YA,Nyeri jantung kadang muncul sebagai nyeri alih terutama pada wanita dan lansia
,Kebas atau Nyeri Betis saat Jalan,Nyeri/kram betis saat berjalan dan membaik saat istirahat,SEDANG,Nyeri saat istirahat; luka sulit sembuh; kaki pucat/dingin,-,Nyeri saat istirahat; luka sulit sembuh; kaki pucat/dingin,YA,"Pasien diabetes, hipertensi, kolesterol tinggi, dan perokok memiliki risiko lebih tinggi penyempitan pembuluh darah perifer"
21,Pilek,"Bersin, hidung tersumbat, tanpa sesak",RINGAN,1. Istirahat; 2. Makan makanan bernutrisi; 3. Olahraga; 4. Minum vitamin; 5. Memperbanyak minum,"Saline nasal spray, parasetamol bila demam","Sesak napas, demam tinggi>3 hari",YA,Waspada pada bayi & lansia
22,Sakit Tenggorokan,"Nyeri saat menelan, tanpa sesak",RINGAN,1. Beristirahat yang cukup; 2. Memperbanyak minum air putih (bukan ait panas); 3. Mengonsumsi makanan yang dingin dan lembut; 4. Berhenti merokok dan hindari asap rokok; 5. Mengulum es batu (tidak untuk bayi & anak); 6. Berkumur dengan air hangat dicampur garam (tidak untuk anak),Obat antinyeri (paracetamol/ ibuprofen),"Rasa nyeri yang parah hingga sulit makan dan minum
Demam tinggi
Sesak napas
Ruam kulit
Leher terasa kaku
Sakit telinga
Darah pada air liur atau dahak
Suara serak lebih dari 2 minggu
Pembengkakan pada leher atau wajah",,Anak perlu pemantauan
23,Flu,"Demam 
Batuk 
Pilek 
Hidung tersumbat
Sakit kepala
Nyeri otot
Kelelahan
Menggigil atau berkeringat",SEDANG,1. Beristirahat yang cukup; 2. minum air putih yang banyak; 3. makan makanan bergizi, Panadol/ Fenatic,Gejala tidak membaik setelah 2 minggu,,Komorbid risiko tinggi
24,Bersin Alergi,"Pilek atau hidung tersumbat
Bersin-bersin
Mata terasa gatal atau berair
Mata membengkak dan kelopak mata bawah berwarna gelap (mata panda)
Gatal di mulut dan tenggorokan
Muncul ruam pada kulit
Lemas
Batuk-batuk
Sakit kepala",RINGAN,Hindari debu/asap,Antihistamin (konsul ke dokter),"Gejala-gejala yang terasa sangat mengganggu dan tidak kunjung membaik
Obat alergi yang diminum tidak efektif atau justru memicu efek samping yang mengganggu
Terdapat penyakit lain yang bisa memperparah rhinitis alergi, misalnya sinusitis, asma, atau polip dalam rongga hidung",,Riwayat asma perlu perhatian
25,Nyeri Sinus,"Pilek atau hidung tersumbat
Lendir yang mengalir menetes ke tenggorokan (postnasal drip)
Nyeri di bagian belakang mata, hidung, pipi, atau dahi, yang bisa memburuk ketika membungkuk
Hidung beringus dengan warna kuning atau hijau
Sakit telinga
Sakit kepala
Sakit gigi
Penurunan pada fungsi indera penciuman
Batuk
Bau mulut
Demam
Tubuh terasa lelah",SEDANG,"1. Menggunakan pelembab udara (humidifier);
2. Menghirup uap dari semangkuk air hangat atau mandi dengan air hangat;
3. Menggunakan kompres hangat pada area wajah;
4. Membersihkan hidung menggunakan larutan garam yang bisa dibeli di apotek atau dengan buatan sendiri;
5. Memperbanyak minum air putih dan tidak mengonsumsi minuman beralkohol;
6. Beristirahat dan tidur yang cukup;",Resep dokter,"Bersin
Sakit tenggorokan
Sakit gigi
Rasa tidak enak di mulut
Kurang sensitif terhadap bau (hiposmia)
Kehilangan penciuman (anosmia)
Batuk kering kronis (terutama pada anak-anak)
Mudah lelah",,Hindari penggunaan dekongestan berlebihan
26,Suara Serak,"Suara serak, atau bahkan hilang sama sekali
Sakit tenggorokan
Tenggorokan kering
Batuk, bisa disertai demam
Sulit menelan atau terasa ada yang mengganjal di tenggorokan",RINGAN,"1. Minum banyak air putih dan tidak mengonsumsi minuman yang berkafein atau beralkohol;
2. Menghirup inhaler dengan kandungan mentol untuk melegakan saluran pernapasan yang terasa tidak nyaman;
3. Mengonsumsi permen mint dan berkumur dengan air garam hangat atau obat kumur khusus untuk melegakan tenggorokan;
4. Berbicara dengan suara perlahan untuk mengurangi ketegangan pada pita suara yang sedang meradang;
5. Menghindari penggunaan obat-obatan yang dapat membuat tenggorokan kering, seperti dekongestan;
Berhenti merokok dan menghindari paparan penyebab iritasi dan alergi, seperti asap rokok dan debu",,"Demam yang tidak kunjung reda
Sakit tenggorokan yang lebih parah
Sulit menelan
Batuk berdarah
Sulit bernapas
Khusus anak-anak:
Suara napas bernada tinggi yang timbul ketika menarik napas (stridor)
Ngiler atau ngeces berlebihan
Demam di atas 39ºC
Batuk berdarah
Sulit menelan
Sulit bernapas",,Hindari merokok
27,Batuk kering,"Demam
Sakit tenggorokan
Pilek
Hidung tersumbat
Bersin
Mata berair
Sulit menelan
Rasa panas di ulu hati dan dada (heartburn)
Kembung",RINGAN,"1. Minum air hangat yang dicampur madu dan lemon, tetapi jangan memberikan minuman ini kepada anak usia di bawah 2 tahun;
2. Minum air putih sesuai kebutuhan;
3. Beristirahat yang cukup;
4. Berhenti merokok;
5. Mengenakan pakaian hangat jika cuaca dingin;
6. Menggunakan alat pelembab udara, terutama jika udara kering karena dapat memperburuk iritasi pada tenggorokan","Vicks Formula 44/ Sanadryl DMP
Khusus anak: Laserin","Batuk disertai darah
Sesak napas
Nyeri dada
Mengi
Lemas
Demam dan menggigil
Kaki atau perut membengkak",,Anak <2 tahun hati-hati obat batuk
28,Batuk berdahak,"Dada terasa berat
Banyak lendir di tenggorokan
Sesak napas
Demam
Menggigil
Napas berbunyi (mengi)
Hidung berair atau meler
Lemas
Lendir hidung yang menetes ke tenggorokan",SEDANG,"1. Menggunakan pelembap udara atau humidifier agar ruangan menjadi lebih lembap sehingga batuk berkurang;
2. Mengonsumsi madu sebanyak 1–2 sendok makan, 30 menit sebelum tidur, tetapi jangan memberikan madu kepada anak di bawah usia 2 tahun;
3. Mandi dengan air hangat;
4. Memperbanyak minum air putih hangat untuk membantu mengencerkan dahak;
5. Menghindari paparan asap dan debu;
6. Menghentikan kebiasaan merokok","ambroxol, guaifenesin, maupun obat batuk berdahak alami yang mengandung bahan herbal","Sesak napas
Nyeri dada
Tubuh terasa sangat lelah
Linglung
Batuk berdarah
Berat badan menurun drastis",,
29,Sesak ringan pada asma,"Sulit bernapas
Batuk
Dada terasa sesak, nyeri, atau seperti tertekan
Mengi ",SEDANG,"1. Catat waktu dan frekuensi timbulnya serangan asma, dan kenali tanda-tanda dini serangan asma atau perburukan asma; 2. berobat ke dokter untuk membuat perencanaan tindakan yang mencakup pengobatan dan penanganan serangan asma; 3. Gunakan obat-obatan sesuai dengan yang diresepkan dokter",-,"Sesak napas berlangsung terus menerus, tidak bisa berbicara dengan jelas karena sesak napas, kesulitan ekstrim dalam bernapas, bibir & kuku menjadi kebiruan, agitasi, kebingungan, atau tidak mampu berkosentasi.",YA,Kondisi redflag segera bawa IGD
30,Napas cepat karena cemas,"Sesak napas
Menarik napas tidak terasa dalam
Dada terasa penuh atau nyeri
Jantung berdetak lebih cepat 
Tidak bisa berpikir jernih atau sulit konsentrasi
Vertigo
Keringat dingin
Lemas
Sakit kepala
Mulut kering
Perut kembung, sering sendawa, atau buang angin
Gangguan penglihatan, misalnya pandangan buram atau seperti melihat terowongan
Mati rasa atau kesemutan di sekitar mulut, tangan, atau kaki
Kram atau tegang pada otot tangan maupun kaki ",RINGAN,"1. Pegang perut, tepatnya di bawah tulang rusuk menggunakan satu tangan, dan satu tangan lain untuk memegang dada;
2. Hirup udara perlahan melalui hidung dan tahan selama beberapa detik;
3. Embuskan napas secara perlahan melalui bibir yang mengerucut (seperti meniup lilin); 
4. Tekan perut secara perlahan, seolah-olah membantu mendorong udara dari perut agar keluar;
5. Ulangi tahapan di atas setidaknya 3–10 kali atau sampai gejala mereda",Rekomendasi dokter,"Nyeri dada, yang terasa seperti diremas atau ditekan, dan memburuk ketika menarik napas dalam-dalam
Demam atau menggigil
Keluhan hiperventilasi tidak segera mereda atau malah memburuk
Perdarahan berat
Pusing berat seperti akan pingsan",,Pastikan bukan gangguan jantung
31,Sesak disertai demam tinggi,"Demam tinggi, berkeringat, atau menggigil
Sesak napas, terutama saat beraktivitas
Sakit kepala
Denyut jantung cepat
Mual atau muntah
Diare 
Nyeri dada atau nyeri perut, terlebih ketika batuk atau menarik napas dalam
Batuk kering atau batuk dengan dahak berwarna hijau
Hilang nafsu makan
Nyeri otot
Sangat lelah",BAHAYA,STOP — segera bantuan medis/ ke IGD,,⚠️ SEGERA hubungi 119 / minta seseorang antarkan ke IGD terdekat,SELALU,Lansia sangat berisiko
32,Batuk darah,Dahak bercampur darah ,BAHAYA,STOP — segera bantuan medis/ ke IGD,,⚠️ SEGERA hubungi 119 / minta seseorang antarkan ke IGD terdekat,SELALU,Perokok perlu dievaluasi
33,Bibir kebiruan,"Napas menjadi cepat
Sesak napas
Sakit kepala
Pandangan kabur
Detak jantung menjadi cepat atau menjadi lamban
Kulit, kuku, dan bibir berwarna kebiruan (sianosis) atau justru berwarna merah gelap seperti ceri
Lemas
Linglung
Hilang kesadaran
Keringat berlebih
Batuk
Sulit bicara",BAHAYA,STOP — segera bantuan medis/ ke IGD,,⚠️ SEGERA hubungi 119 / minta seseorang antarkan ke IGD terdekat,SELALU,Perlu oksigen segara
34,Hidung tersumbat,"Hidung meler atau berair
Hidung tersumbat
Bersin-bersin
Hidung terasa gatal
Mata berair atau gatal
Lendir hidung mengalir ke tenggorokan (post-nasal drip)
Penurunan indra penciuman",RINGAN,"1. Menghindari pemicu seperti debu, asap rokok, polusi udara, bulu hewan, atau udara dingin;
2. Membersihkan hidung dengan cairan saline untuk membantu mengencerkan lendir dan membersihkan alergen atau iritan;
3. Menggunakan masker saat berada di lingkungan berdebu atau berpolusi",-,"Gejala rhinitis mengganggu aktivitas sehari-hari
Gejala membuat Anda sulit tidur
Keluhan tidak membaik meskipun sudah menggunakan obat alergi",TIDAK,
35,Mimisan ringan ,pendarahan di hidung,RINGAN,"1. Posisikan tubuh dalam keadaan duduk condong ke depan serta tundukkan
kepala agar darah dari hidung dapat keluar. bernapas
dengan mulut. Jangan tengadahkan kepala atau baringkan tubuh, karena akan
membuat darah tertelan yang dapat memicu muntah;
2. Jepit cuping hidung dengan ibu jari dan jari telunjuk untuk memberikan
tekanan dan tahan selama 10 menit;
3. Setelah 10 menit, lepas tekanan. Jika belum berhenti,
ulangi kembali selama 10 menit;
4. Jika perdarahan berhenti, jangan ubah posisi. Bila gunakan cold pack
untuk membantu vasokonstriksi pada perdarahan.",-,Jika perdarahan berlangsung lebih dari 30 menit,TIDAK,
36,Sulit menelan disertai sesak,"Demam
Sakit tenggorokan
Sulit menelan
Ngorok
Suara serak
Ngeces
Sesak napas
Rewel pada anak-anak",BAHAYA,STOP — segera bantuan medis/ ke IGD,,⚠️ SEGERA hubungi 119 / minta seseorang antarkan ke IGD terdekat,SELALU,Risiko obstruksi jalan napas
37,Batuk lama lebih dari 2 minggu,"Batuk kronis, berlangsung lebih dari 2 minggu, dapat disertai dahak berdarah
Demam ringan yang naik-turun, terutama sore atau malam hari
Berkeringat di malam hari tanpa aktivitas berat
Penurunan berat badan yang drastis tanpa penyebab jelas
Nafsu makan menurun
Nyeri dada atau sesak napas jika infeksi sudah berat",BAHAYA,STOP — segera bantuan medis/ ke IGD,,⚠️ SEGERA hubungi 119 / minta seseorang antarkan ke IGD terdekat,SELALU,Riwayat kontak diperhatikan
38,Mendekur disertai henti napas,"Mengorok dengan keras
Berhenti bernapas selama beberapa kali ketika sedang tidur
Tersengal-sengal berusaha mengambil napas atau sesak napas saat sedang tidur
Terbangun dari tidur akibat merasa tercekik atau batuk-batuk pada malam hari
Sulit tidur",SEDANG,Konsultasi ke dokter,,Henti napas lama saat tidur,YA,Risiko obesitas
39,Tersedak disertai sesak,"esak napas secara tiba-tiba yang disertai batuk, tersedak, atau stridor",BAHAYA,STOP — segera bantuan medis/ ke IGD,,⚠️ SEGERA hubungi 119 / minta seseorang antarkan ke IGD terdekat,SELALU,Sering terjadi pada anak dan lansia
40,Alergi debu,Hidung gatal dan bersin,RINGAN,Hindari pemicu,,Sesak berat,TIDAK,
41,Diare Akut (akibat virus),Mual mendadak; muntah 3–5x/hari; diare cair tanpa darah; demam ringan; nyeri perut; gejala terjadi selama 24-72 jam,SEDANG,"1. Mengembalikan cairan dalam tubuh dengan membuat larutan khusus seperti oralit sachet atau membuat oralit darurat (campuran gula dan garam); 2. Diet BRAT dengan pola makan sementara yang terdiri dari Banana (pisang), Rice (nasi putih), Applesauce (saus apel), dan Toast (roti panggang); 3.Hindari makanan pedas, berlemak, bersantan, dan produk susu sementara waktu; 4. Istirahat yang cukup","Oralit (dilarutkan 1 sachet oralit dalam 200 mL air dan diminum perlahan tapi sering sampai habis sesuai dosis yang dianjurkan); Zinc (20 mg 1x/hari) harus diberikan selama 10 hari berturut-turut tanpa terputus, meskipun diare sudah berhenti","Jika tidak membaik >3 hari , dehidrasi, terdapat darah pada tinja → rujuk ke dokter",YA,"Jika saat menggunakan oralit terjadi mual muntah dapat  hentikan konsumsi larutan tersebut selama 10 menit, kemudian coba minum kembali dalam jumlah yang lebih sedikit tetapi sering."
42,Diare Akut (akibat bakteri),Muntah hebat setelah makan; muntah 3-5x/hari; diare cair atau berlendir; kram perut; demam; gejala terjadi selama 1-7 hari,BAHAYA,"1. Mengembalikan cairan dalam tubuh dengan membuat larutan khusus seperti oralit sachet atau membuat oralit darurat (campuran gula dan garam); 2. Hindari makanan pedas, berlemak, bersantan, dan produk susu sementara waktu; 3. Cuci tangan dengan sabun dan air mengalir setelah dari toilet dan sebelum makan untuk mencegah penularan ke orang lain",Oralit (dilarutkan 1 sachet oralit dalam 200 mL air dan diminum perlahan tapi sering sampai habis sesuai dosis yang dianjurkan); Paracetamol 500 mg (3x/hari pada saat demam) pada dewasa; Parasetamol 250 mg (3x/hari pada saat demam) pada anak-anak usia 6-7 tahun,Jika gejala tidak membaik >3 hari → segera rujuk ke dokter,SELALU,"Jika saat menggunakan oralit terjadi mual muntah dapat  hentikan konsumsi larutan tersebut selama 10 menit, kemudian coba minum kembali dalam jumlah yang lebih sedikit tetapi sering."
43,Diare Akut,Kram/sakit perut; Keleahan menyeluruh; Demam; BAB dengan feses disertai darah/lendir; Keinginan BAB terus menerus; Berat badan menurun,BAHAYA,STOP — segera bantuan medis/ ke IGD,-,⚠️ SEGERA ke IGD,SELALU,Risiko mengidap penyakit Peradangan usus besar (Inflammatory Bowel Disease/IBD)
44,GERD,"Heartburn (nyeri atau rasa panas terbakar) pada perut bagian atas, perut, atau dada",SEDANG,"1. Melakukan modifikasi gaya hidup; 2. Perubahan diet; 3. Hindari jenis minuman yang memperparah keadaan seperti minuman beralkohol, berkarbonasi (soda), kafein; 4. Hindari jenis makanan berlemak, berminyak, atau pedas",Antasida (Dewasa dan anak 6-12 tahun 3x/hari 1 tablet dikunyah diberikan 1-2 jam setelah makan dan sebelum tidur; atau Famotidin (Dewasa 20 mg 2x/hari diminum bersama atau tanpa makan); atau Omperazole (perlu resep dokter),"Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis",YA,"Ibu hamil perlu konsultasi ke dokter sebelum menggunakan obat-obat ini; Pasien yang sedang menjalani diet rendah fosfor, pasien hemodialisis, dan gangguan fungsi ginjal serta anak <6 tahun jangan gunakan obat >2 minggu)"
45,Sembelit,BAB keras atau jarang (<3x/minggu); Mengejan saat BAB; Perut terasa penuh/kembung; Rasa tidak tuntas setelah BAB,RINGAN,"1. Konsumsi tinggi serat (roti gandum utuh, kacang kedelai, tempe, brokoli, buncis, oyong, kacang panjang, jeruk, nanas, mangga, pisang, pepaya, apel, anggur, pir); 2. Konsumsi makanan dalam porsi kecil dengan frekuensi sering; 3. Cukup air putih dan elektrolit (minimal 2 L); 4. Rutin berolahraga; 5. Tidak menunda BAB",Laksatif ringan seperti Laxadine sirup sesuai aturan pakai atau Dulcolax tablet 5 mg diminum malam hari bila perlu,"Nyeri perut hebat, muntah, BAB berdarah, tidak BAB >7 hari, perut sangat kembung, demam tinggi → segera ke dokter/IGD",YA,"Lansia, ibu hamil, anak, atau pasien dengan riwayat sumbatan usus perlu konsultasi sebelum penggunaan laksatif"
46,Luka lambung,Nyeri ulu hati terutama saat lapar; Mual; Kembung; Rasa cepat kenyang; Nyeri membaik/memburuk setelah makan,RINGAN,"1. Hindari makanan pedas, asam, kopi, alkohol; 2. Makan porsi kecil tetapi sering; 3. Hindari penggunaan NSAID (seperti obat Ibuorofen, Diclofenac, Asam Mefenamat, Aspirin, Naproxen, dll) tanpa pengawasan",Antasida (Dewasa dan anak 6-12 tahun 3x/hari 1 tablet dikunyah diberikan 1-2 jam setelah makan dan sebelum tidur; atau Famotidin (Dewasa 20 mg 2x/hari diminum bersama atau tanpa makan); atau Omperazole (perlu resep dokter),"Muntah darah, BAB hitam, nyeri perut berat, penurunan berat badan drastis, sulit menelan → segera ke IGD",YA,Jika memiliki riwayat tukak lambung kronis atau penggunaan obat antiinflamasi jangka panjang perlu evaluasi dokter
