NO,NAMA KELUHAN,GEJALA PENYERTA / PEMBEDA,TINGKAT URGENSI,REKOMENDASI TINDAKAN,REKOMENDASI PRODUK/OBAT,KONDISI BAHAYA / RED FLAG,WAJIB DISCLAIMER,CATATAN KHUSUS
47,Wasir (Ambeien),Terjadi perdarahan sedikit dengan darah tidak bercampur dengan feses pada saat sulit buang air besar (BAB),SEDANG,1. Menggunakan kompres dingin; 2. Merendam bokong dengan air hangat; 3. Mengonsumsi makanan tinggi serat; 4. Menggunakan obat pereda nyeri,Parasetamol (500 mg 3x/hari digunakan hanya pada saat nyeri); Salep wasir yang diresepkan dokter,Nyeri anal parah dan gejala tidak membaik selama pengobatan mandiri segera ke IGD,TIDAK,-
48,Wasir (Ambeien),Terjadi perdarahan hebat selama >2 hari,BAHAYA,STOP — segera bantuan medis/ ke IGD,-,⚠️ SEGERA ke IGD,SELALU,Risiko mengalami anemia
49,Wasir (Ambeien),Rasa nyeri berat dan berkepanjangan walaupun sudah selesai buang air besar (BAB),BAHAYA,STOP — segera bantuan medis/ ke IGD,-,⚠️ SEGERA ke IGD,SELALU,Risiko mengidap Hemoroid testrannulasi
50,Wasir (Ambeien),Rasa gatal dan nyeri pada anus (dubur); Nyeri hebat pada anus selama BAB (buang air besar); Nyeri reda saat tidak buang air besar,SEDANG,1. Meningkatkan asupan serat (sayur/buah); 2. Banyak minum air putih; 3. Mandi air hangat,Dulcolax gel (Obat gel dimasukkan ke dalam anus pada ujung runcing sedalam 1 ruas jari dan tetap berbaring selama 15 menit; Salep pereda nyeri yang diresepkan dokter,Nyeri anal parah dan gejala tidak membaik selama pengobatan mandiri,TIDAK,-
51,Diare,Perut bagian bawah nyeri dan kembung; muncul sembelit bergantian dengan diare,BAHAYA,STOP — segera bantuan medis/ ke IGD,-,⚠️ SEGERA ke IGD,SELALU,Risiko mengidap penyakit Sindrom Iritasi Usus Besar (Irritable Bowel Syndrome/IBS)
52,Diare,"Dalam penggunaan obat dengan antasida atau mengandung magnesium, obat antibiotik atau obat hipertensi",SEDANG,STOP — segera bantuan medis/ ke IGD,-,⚠️ SEGERA ke IGD,TIDAK,-
53,Intoleransi laktosa,Kram perut terjadi setelah mengonsumsi susu sapi atau produk dari sapi lainnya; Perut kembung; Produksi gas berlebih,RINGAN,1. Dibatasi konsumsi susu sapi dan produk olahannya,Menggunakan produk bebas laktosa; mengonsumsi probiotik; suplemen tambahan kalsium dan Vitamin D (1x/hari setelah makan),Tidak ada red flag,YA,"Gejala berlangsung selama >3 hari, mual muntah hebat atau demam, dakit perut hebat, dan ibu hamil perlu dirujuk ke dokter."
54,Gangguan Pencernaan,Nyeri atau rasa panas terbakar pada perut bagian atas atau dada; disertai cemas; nyeri punggung; keringat bercucuran; nyeri pada rahang,BAHAYA,STOP — segera bantuan medis/ ke IGD,-,⚠️ SEGERA ke IGD,SELALU,Risiko mengalami serangan jantung
55,Gangguan Pencernaan,BAB dengan feses yang disertai darah; Berat badan menurun secara tiba-tiba; Muntah disertai darah,BAHAYA,STOP — segera bantuan medis/ ke IGD,-,⚠️ SEGERA ke IGD,SELALU,Risiko mengalami kanker lambung
56,Gangguan Pencernaan,Nyeri perut; mual; kembung; perut terasa penuh (kenyang),RINGAN,"1. Ubah kebiasaan makan; 2. Hindari jenis minuman yang memperparah keadaan seperti minuman beralkohol, berkarbonasi (soda), kafein; 3. Hindari jenis makanan berlemak, berminyak, atau pedas","Antasida suspensi (Dewasa dan anak usia ≥12 tahun: 10–20 ml, 4 kali sehari, setiap 20–60 menit setelah makan dan sebelum tidur); Antasida tablet (Dewasa dan anak usia ≥12 tahun: 2–4 tablet, 4 kali sehari. Dosis maksimal 16 tablet sehari)",Tidak ada red flag,YA,"Nyeri perut terjadi terus menerus, sulit menelan, lemas perlu dirujuk ke dokter"
57,Sakit Kepala,Nyeri kepala ringan; Terasa tegang atau berdenyut ringan,RINGAN,1. Istirahat cukup; 2. Minum air putih cukup; 3. Kurangi stres dan kurang tidur,Paracetamol 500 mg 3–4x/hari bila nyeri,Tidak ada red flag,YA,"Hati-hati penggunaan parasetamol pada penderita penyakit ginjal;
Bila setelah 2 hari demam tidak menurun atau setelah 5 hari nyeri tidak menghilang, segera hubungi dokter;
Penggunaan bersamaan dengan obat lain yang juga mengandung Paracetamol dilarang;
Penggunaan pada penderita yang mengonsumsi alkohol dapat meningkatkan risiko kerusakan fungsi hati;
Jangan melebihi dosis yang dianjurkan"
,Sakit Kepala,Nyeri kepala sedang hingga mengganggu aktivitas; Dapat disertai mual ringan atau sensitif cahaya,SEDANG,1. Istirahat di ruangan tenang; 2. Hindari paparan cahaya/suara berlebih; 3. Konsumsi cairan cukup,Paracetamol 500 mg 3–4x/hari,Nyeri tidak membaik >3 hari atau semakin berat → konsultasi dokter,YA,Pasien hipertensi atau riwayat migrain berat perlu evaluasi lebih lanjut bila keluhan sering kambuh
,Sakit Kepala,Nyeri kepala sangat hebat mendadak; Disertai kelemahan anggota tubuh; Kejang; Penurunan kesadaran; Muntah hebat atau gangguan bicara/penglihatan,BAHAYA,STOP — segera bantuan medis/ ke IGD,-,⚠️ SEGERA ke IGD,SELALU,"Risiko stroke, perdarahan otak, atau meningitis"
,Nyeri Sendi,Nyeri pada sendi saat bergerak; Pegal; Kaku ringan terutama setelah aktivitas,RINGAN,1. Istirahatkan sendi; 2. Kompres hangat/dingin; 3. Hindari aktivitas berat sementara,Paracetamol 500 mg 3–4x/hari; Gel anti nyeri Counterpain Cool (oles 2x/hari),"Bengkak berat, kemerahan luas, atau nyeri tidak membaik → konsultasi dokter",YA,Lansia dan pasien asam urat/rheumatoid arthritis perlu pemantauan lebih lanjut
58,Alergi,Ruam kemerahan dan gatal pada tubuh; dapat disertai dengan bersin dan hidung tersumbat; dapat disertai dengan gangguan pencernaan (misal mual dan muntah); Kesulitan bernapas dan terasa sesak pada dada,BAHAYA,STOP — segera bantuan medis/ ke IGD,-,⚠️ SEGERA ke IGD,SELALU,Risiko mengalami anafilaksis
59,Alergi,"Ruam kemerahan dan gatal hanya melibatkan kulit saja; Telah mengalami kontak dengan zat-zat iritan seperti cat rambut, nikel (pada perhiasan), plester, parfum, atau tanaman/ tumbuhan",RINGAN,1. Hindari pemicu alergi; 2. Gunakan pakaian bersih; 3. Jaga kebersihan lingkungan,Cetirizine 10 mg 1x/hari; Calamine lotion bila gatal,Ruam meluas atau muncul sesak napas → segera ke dokter,YA,Perhatikan riwayat alergi obat atau makanan tertentu
60,Alergi,Ruam kemerahan dan gatal pada tubuh; dapat disertai dengan bersin dan hidung tersumbat; dapat disertai dengan mual ringan,SEDANG,1. Hindari pemicu alergi seperti debu atau makanan; 2. Istirahat dan minum air cukup,"Cetirizine dengan dosis Dewasa dan anak usia >6 tahun: 5–10 mg, per hari.",Bengkak wajah memberat atau sesak napas → segera ke IGD,YA,Pasien dengan riwayat asma lebih berisiko mengalami reaksi berat; Ibu hamil perlu konsultasi ke dokter
61,Diare,BAB cair 3-5x/hari; mendadak; tidak dehidrasi; berlangsung kurang dari 14 hari; tidak dehidrasi berat,RINGAN,"1. Minum oralit atau larutan gula-garam; 2. Konsumsi air kelapa; 3. Hindari produk susu, susu, daging berserat kasar, makanan berlemak, dan makanan yang menimbulkan gas sementara waktu; 4. Cuci tangan dengan sabun; 5. Hindari makanan berserat tinggi",Oralit sediaan jadi 1 bungkus atau larutan gula garam sendiri sebanyak 300-400 mL untuk dewasa setiap habis BAB cair; Probiotik (yoghurt);  Konsumsi Zink 10 mg 1x/hari untuk anak 2–5 bulan selama 10-14 hari bersamaan dengan oralit; Konsumsi Zink 20 mg 1x/hari untuk anak usia ≥6 bulan selama 10-14 hari bersamaan dengan oralit,"Diare lebih dari >3 hari (dewasa) atau >2 hari (lansia) atau 24 jam (anak-anak); diare yang disertai muntah-muntah atau demam; ada darah dalam tinja; tanda dehidrasi berat (pusing, lemas ekstrem) ",YA,Anak <5 tahun wajib oralit + zinc
62,Diare,BAB bercampur darah; nyeri saat BAB; lendir dalam tinja; kram perut; demam,SEDANG,1. Segera ke dokter; 2. Minum oralit untuk mencegah dehidrasi; 3. Cuci tangan dengan sabun; 4. Konsumsi makanan dalam porsi sedikit tetapi sering; 5. Hindari makanan berserat tinggi,Oralit; Antibiotik hanya jika diarahkan oleh dokter,"Jika ada tanda dehidrasi berat (tidak kencing, mata cekung, lesu/ lunglai, pusing)",YA,"Anak perlu cukup minum, terutama saat demam. Infus diberikan bila terjadi dehidrasi berat atau anak sulit makan dan minum. Jika asupan masih cukup, infus tidak diperlukan."
63,Mimisan,Mimisan biasa; berhenti <10 menit; tidak ada riwayat trauma; tidak ada obat pengencer darah,RINGAN,1. Duduk condong sedikit ke depan; 2. Cubit hidung (bagian lunak) 10-15 menit; 3. Jangan mendongak; 4. Kompres dingin di hidung,,Jika tidak berhenti 20 menit atau darah sangat deras → ke IGD,YA,Jangan mendongak — darah masuk ke tenggorokan bisa menyebabkan mual
64,Nyeri Haid,kram atau sakit di perut bagian bawah 1-2 hari sebelum haid; mual; muntah; lemah; lesu; haid teratur; tidak demam,RINGAN,"1. Kompres perut dengan handuk hangat; 2. Rutin berolahraga; 3. Hindari minuman bersoda, berkafein, dan beralkohol; 4. Hindari mengonsumsi makanan yang tinggi lemak, garam dan gula; 5. Istirahat cukup; 6. Mengelola stress","Feminax 1–2 tablet hingga 3 kali sehari, sebelum atau sesudah makan; Proris triple action 1–2 tablet, 3–4 kali sehari dan harus diminum setelah makan; Sanmol sebelum atau sesudah makan, 1–2 tablet, 3–4 kali sehari",Tidak ada red flag,TIDAK,
65,Nyeri Haid,Nyeri muncul beberapa hari sebelum menstruasi dan terasa lebih berat serta lebih lama saat haid berlangsung; haid tidak teratur; kram masih terjadi meskipun haid sudah selesai; demam,SEDANG,1. Segera ke dokter kandungan; 2. Kompres hangat,-,⚠️ Curiga Endometriosis atau Kista. Jangan abaikan nyeri haid yang tidak wajar,YA,"Dapat disebabkan oleh endometriosis, fibroid, adenomiosis, atau infeksi panggul"
66,Tekanan Darah Tinggi,TD 120-139/80-89 mmHg; tidak ada gejala,RINGAN,1. Konsumsi garam < 5 gram/ hari; 2. Olahraga 30–60 menit minimal 3 kali /minggu; 3. Hindari rokok dan alkohol; 4. Pantau tekanan darah berkala,-,Tekanan darah terus meningkat atau muncul keluhan → periksa ke dokter,YA,Termasuk pre-hipertensi atau berisiko hipertensi
67,Tekanan Darah Tinggi,TD 140-159/90-99 mmHg; pusing; mudah lelah; jantung berdebar; penglihatan kabur; sulit berkonsentrasi; gelisah; nyeri tengkuk,SEDANG,"1. Diet DASH (Dietary Approaches to Stop Hypertension) konsumsi makanan rendah lemak jenuh, kolesterol, dan lemak total, serta meningkatkan konsumsi buah dan sayur dengan jumlah porsi 4-5 porsi/hari, kacang-kacangan; 2. Konsumsi garam < 5 gram/ hari; 3. Olahraga 30–60 menit minimal 3 kali /minggu; 4. Hindari rokok dan alkohol; 5. Pantau tekanan darah rutin ",Kaptopril (25–100 mg) 2-3x sehari (harus dengan resep dokter); Lisinopril (10-40 mg) 1x sehari (harus dengan resep dokter),Keluhan semakin berat atau tekanan darah meningkat → segera periksa,YA,Perlu pemantauan rutin tekanan darah
68,Tekanan Darah Tinggi,TD >160/>100 mmHg; nyeri dada; perubahan penglihatan mendadak; kebingungan; mati rasa; sakit kepala mendadak dan parah; kesulitan bernapas,BAHAYA,STOP — segera bantuan medis/ ke IGD,-,⚠️ SEGERA ke IGD ,SELALU,"Risiko krisis hipertensi, stroke, atau serangan jantung"
69,Gula Darah Tinggi/ Diabetes,Kadar gula darah sewaktu 140-199 mg/dL; kadar gula darah puasa 100-125 mg/dL; rasa haus; sering buang air kecil; kelelahan; kesemutan di kaki atau tangan,SEDANG,1. Batasi makanan/minuman dengan karbohidrat sederhana dan tinggi gula; 2. Konsumsi buah-buahan dan sayur-sayuran; 3. Atur pola dan porsi makan; 4. Olahraga ringan setidaknya 150 menit/ minggu; 5. Cukup minum air; 6. Pemeriksaan gula darah berkala; 7. Konsultasi ke dokter untuk diagnosis resmi ,Konsultasi dokter — tidak minum metformin atau obat DM tanpa resep,Keluhan semakin berat atau gula darah meningkat → segera periksa,YA,Termasuk pre-diabetes atau berisiko diabetes
70,Gula Darah Tinggi/ Diabetes,Kadar gula darah sewaktu ≥200 mg/dL; kadar gula darah puasa ≥126 mg/dL; rasa haus meningkat; sering buang air kecil; penurunan berat badan; lelah dan lemah; penglihatan kabur; luka sulit sembuh,SEDANG,1. Segera konsultasi ke dokter untuk diagnosis resmi; 2. Batasi makanan/minuman dengan karbohidrat sederhana dan tinggi gula; 3. Rutin monitor gula darah,Konsultasi dokter — tidak minum metformin atau obat DM tanpa resep,Jika gula darah terus meningkat atau disertai mual/ muntah → segera periksa,SELALU,"Tanda diabetes dapat berkembang menjadi komplikasi apabila tidak ditangani dengan tepat (gangguan jantung, gagal ginjal, kerusakan retina, luka kaki diabetes berat)"
71,Asam Urat Tinggi,kadar asam urat laki-laki >7 mg/dL atau kadar asam urat wanita >6 mg/dL; rasa sakit pada persendian; pembengkakan,RINGAN,1. Istirahatkan sendi; 2. Kompres dingin 20 mnt tiap 4 jam; 3. Minum air putih banyak (3L/hari); 4. Hindari jeroan,"Colchicine (jika ada resep dokter) 0,5–0,6 mg, 1−2 kali sehari untuk serangan akut",⚠️ Jika nyeri sangat hebat → ke dokter,YA,"Colchicine dapat terserap ke dalam ASI. Bila sedang menyusui, jangan menggunakan obat ini tanpa persetujuan dokter."
72,Kolesterol Tinggi,kolesterol LDL lebih besar dari 190 mg/dL; umumnya tanpa gejala,RINGAN,"1. Kurangi makanan tinggi lemak jenuh (jeroan, makanan bersantan) dan gorengan; 2. rutin olahraga; 3. Kurangi konsumsi alkohol dan berhenti merokok; 4. cek kolesterol berkala; 5. Konsumsi sayur dan buah-buahan",Konsultasi dokter — obat statin hanya jika faktor risiko tinggi atau kolesterol >240 mg/dL,Jika disertai nyeri dada → segera ke dokter (risiko kardiovaskular),TIDAK,
73,Mual Muntah Ibu Hamil,Mual pagi hari trimester 1 dengan atau tanpa muntah; tidak bisa makan banyak; pusing; lemas saat berjalan ,RINGAN,"1. Hindari makanan dengan bau tajam, lemak tinggi, dan makanan pedas; 2. Makan dalam porsi sedikit tapi sering; 3. Hindari bau menyengat; 4. Minum teh jahe hangat; 5. Minum air yang cukup terutama jika muntah-muntah",Vitamin B6 25mg 3x/hari (harus sesuai anjuran dokter),"Jika mual-mual sepanjang waktu dan diiringi muntah, dehidrasi, penurunan berat badan hingga 5% → segera ke dokter/IGD indikasi Hyperemesis Gravidarum",SELALU,Konsultasi SEMUA obat yang dikonsumsi ibu hamil dengan dokter kandungan
74,Dehidrasi,Haus; urin kuning gelap atau pekat; sedikit sering pusing; jarang buang air kecil; bibir kering; demam ,RINGAN,1. Minum air putih setidaknya 8 gelas atau 2 liter setiap hari untuk orang dewasa; 2. Konsumsi sayur dan buah; 3. Istirahat di tempat sejuk; 4. Cukup minum saat berolahraga terlebih saat cuaca panas; 5. Konsumsi oralit,-,"Jika muntah, diare tidak berhenti lebih dari 24 jam, feses berwarna hitam pekat atau berdarah, mudah mengantuk ",YA,"Bayi di bawah 6 bulan mengonsumsi ASI lebih sering, konsumsi susu formula tanpa kandungan laktosa sampai diare berhenti sepenuhnya"
75,Dehidrasi,urine sangat gelap; tidak bisa buang air kecil sama sekali; merasa sangat kehausan; jantung berdebar tak beraturan; penurunan tekanan darah; mata cekung; penurunan kesadaran; kulit tidak elastis; sakit kepala,BAHAYA,"STOP — Segera ke dokter, butuh penanganan pertama dengan memberikan cairan maupun obat melalui infus ",-,⚠️ SEGERA ke dokter,SELALU,Bayi & lansia: dehidrasi berat sangat cepat memburuk
76,Kurang Nafsu Makan,Nafsu makan menurun 3-7 hari; tidak demam; tidak turun BB signifikan; stres atau tidak enak badan,RINGAN,1. Makan sedikit tapi sering (5-6x/hari); 2. Pilih makanan favorit dan bergizi untuk meningkatkan keinginan makan; 3. Konsumsi makanan bentuk cairan; 4. Kurangi stress,Curcuma (vitamin penambah nafsu makan) 1 sdm 3x/ hari untuk dewasa (tidak gunakan terlalu lama atau lebih banyak dari yang disarankan); vitamin B1; vitamin B12; Curvit ,Jika nafsu makan hilang >2 minggu atau BB turun >5% → ke dokter,YA,Konsultasi SEMUA obat yang dikonsumsi ibu hamil dan ibu menyusui dengan dokter.
77,Luka,Luka lecet/gores ringan; tidak dalam; tidak berdenyut; tidak ada kotoran tanah,RINGAN,1. Cuci luka dengan air bersih mengalir 5 menit; 2. Bersihkan dengan antiseptik; 3. Tutup dengan plester/perban; 4. Ganti perban tiap hari,NaCl 0.9% untuk cuci luka; Betadine solution (povidone iodine); Plester Hansaplast,"Muncul tanda infeksi (bernanah, kemerahan meluas, bengkak, nyeri, atau demam)",TIDAK,
78,Luka ,luka dalam atau lebar; terkena benda berkarat/kotor; perdarahan tidak berhenti; luka gigitan hewan,BAHAYA,STOP — Segera ke IGD atau klinik,-,"⚠️ Jika disebabkan oleh gigitan hewan atau benda kotor/ berkarat, kemungkinan perlu jahitan dan/atau vaksin tetanus/rabies. JANGAN hanya diobati sendiri di rumah.",SELALU,Gigitan hewan: cuci 15 menit + segera ke fasilitas kesehatan kemungkinan perlu vaksin rabies/ tetanus segera
79,Sulit Tidur/ Insomnia,sulit tidur 2-3 hari; sering terbangun di malam hari dan sulit untuk tidur kembali; bangun terlalu awal pada pagi hari; sulit berkonsentrasi; tetap merasa lelah saat bangun; stress,RINGAN,1. Atur jadwal tidur-bangun pada jam yang sama setiap harinya; 2. Tidak melakukan aktivitas fisik atau olahraga berat dekat dengan waktu tidur; 3. Membatasi konsumsi minuman berkafein atau beralkohol pada sore atau malam hari; 4. Tidak makan berat atau minum banyak air menjelang waktu tidur; 5. Pencahayaan kamar tidur redup dan suhu nyaman; 6. Teknik relaksasi,Suplemen Melatonin 3-5 mg 1x/ hari sebelum tidur untuk dewasa atau baca petunjuk pada kemasan; teh chamomile/lavender; Vitamin B6,Jika insomnia >3 bulan dan mengganggu aktivitas sehari-ari atau tidak membaik setelah mengubah kebiasaan tidur → konsultasi dokter,TIDAK,
80,Stress,Gelisah; jantung berdebar; susah konsentrasi; penurunan berat badan atau sebaliknya; pusing; mual; diare; gangguan tidur; perubahan pola makan,RINGAN,"1. Konsumsi makanan yang sehhat, bergizi lengkap, dan seimbang; 2. Olahraga ringan 30 mnt/hari; 3. Batasi membaca berita negatif; 4. Cukupkan tidur; 5. Bersosialisasi dengan orang yang menyenangkan dan memberikan dampak positif; 6. Meditasi atau teknik relaksasi",Teh chamomile,Jika kecemasan dalam waktu lama sampai mengganggu pekerjaan/kehidupan sosial > 2 minggu → konsultasi ke psikolog/psikiater,TIDAK,
81,Karang Gigi / Gigi kuning,Tampak lapisan kekuningan atau kecoklatan pada gigi; bau mulut ringan; tidak ada nyeri; gusi kadang terasa gatal,RINGAN,"1. Sikat gigi 2x/hari dengan teknik yang benar; 2. Gunakan pasta gigi whitening atau antitartar; 3. Batasi kopi, teh, dan rokok; 4. Rencanakan scaling di dokter gigi setiap 6 bulan",Pasta gigi antitartar (misal Colgate Total/Pepsodent Expert Protection); Obat kumur antibakteri; Dental floss 1x/hari,"Jika gusi sudah turun (akar gigi terlihat) atau gigi goyang → SEDANG, rujuk drg untuk perawatan periodontal",YA,Perokok: scaling lebih sering (3-4 bulan sekali); Pengguna kawat gigi: perlu pembersihan lebih teliti
82,Gigi Goyang,Gigi goyang ringan pada orang dewasa; tanpa nyeri hebat; tanpa bengkak; gusi tampak turun,SEDANG,1. Hindari menggigit makanan keras pada gigi tersebut; 2. Sikat gigi dengan lembut; 3. Periksakan ke dokter gigi dalam 3-5 hari,"Obat kumur Chlorhexidine 0,12% (2x/hari, max 2 minggu) untuk kontrol bakteri","Jika gigi goyang parah (bisa digerakkan dengan jari), disertai nanah atau demam → BAHAYA",YA,Anak: gigi susu goyang pada usia 6-12 th adalah NORMAL; Lansia: goyang gigi dewasa sering tanda penyakit periodontal lanjut
83,Gigi Goyang,"Gigi dewasa goyang parah (hampir lepas); disertai nanah, bengkak, atau demam; atau gigi goyang setelah trauma/benturan kepala",BAHAYA,STOP — Jangan rekomendasikan apapun,-,"⚠️ SEGERA ke dokter gigi atau IGD — jika akibat trauma kepala, waspadai cedera kepala yang menyertai",SELALU,"Anak: gigi permanen yang goyang akibat trauma → darurat gigi, segera ke drg dalam <1 jam"
84,Gigi Patah / Retak,Ujung gigi patah kecil; tepi tajam menggores lidah/pipi; tidak ada nyeri; tidak ada perdarahan,RINGAN,1. Jangan menjilat atau menekan area tajam dengan lidah; 2. Simpan serpihan gigi jika ada; 3. Kunjungi dokter gigi dalam 2-3 hari untuk perapian dan restorasi,Malam gigi sementara (dental wax) jika tersedia untuk menutup tepi tajam sementara; Paracetamol 500mg jika ada ketidaknyamanan,Jika muncul nyeri berdenyut atau sensitivitas hebat → SEDANG,YA,-
85,Gigi Patah / Retak,Gigi patah besar hingga mendekati atau mencapai gusi; nyeri sedang-berat; gigi sensitif; mungkin ada perdarahan ringan,SEDANG,1. Bilas mulut dengan air dingin bersih; 2. Tekan perdarahan ringan dengan kain bersih; 3. Simpan serpihan gigi dalam susu/air liur; 4. Ke dokter gigi HARI INI atau paling lambat besok,Paracetamol 500mg (max 3x/hari); kompres dingin pipi luar untuk mengurangi bengkak,Jika perdarahan tidak berhenti >15 mnt atau nyeri sangat hebat → BAHAYA,YA,-
86,"Gigi Lepas / Tanggal (Karena terbentur, jatuh, kecelakaan)",Gigi permanen dewasa/anak besar lepas seluruhnya akibat benturan; tidak lebih dari 1 jam,BAHAYA,"STOP — Ini DARURAT GIGI, jangan rekomendasikan obat; Instruksi darurat: 1. Pegang gigi di bagian mahkota (bukan akar); 2. Bilas gigi dengan air mengalir bersih 10 detik (JANGAN DISIKAT) ; 3. Simpan dalam susu segar / air liur pasien / larutan garam / air kelapa; 4. Segera ke dokter gigi dalam <30-60 menit",-,⚠️ Gigi dapat ditanam kembali (replantasi) jika ditangani dalam 30-60 menit — JANGAN TUNDA; Jangan simpan gigi dalam air keran atau dibungkus tisu kering,SELALU,"Anak: gigi SUSU yang lepas TIDAK ditanam kembali — cukup ke drg untuk evaluasi; Gigi PERMANEN anak → darurat, prognosis baik jika cepat"
87,Bau Mulut,Bau mulut tidak sedap; lebih buruk saat pagi hari; membaik setelah sikat gigi; tidak ada keluhan lain,RINGAN,"1. Sikat gigi 2x/hari + sikat lidah; 2. Gunakan dental floss atau benang gigi setiap malam; 3. Minum air putih cukup (min 8 gelas/hari); 4. Hindari kopi, bawang, dan rokok; 5. Periksa gigi rutin setiap 6 bulan",Obat kumur antibakteri (Listerine/Betadine Gargle 2x/hari); Sikat lidah; Permen karet xylitol (bukan gula) jika mulut kering,"Jika bau mulut persisten >2 minggu meski kebersihan mulut baik → kemungkinan masalah sistemik (GERD, sinusitis, diabetes) → rujuk dokter umum",YA,Penderita diabetes: bau mulut mirip aseton bisa tanda hiperglikemia → periksa gula darah
88,Rahang Bunyi / Klik saat Buka Mulut,Terdengar bunyi 'klik' atau 'pop' saat membuka/menutup mulut; tanpa nyeri atau nyeri ringan; terjadi satu sisi,RINGAN,"1. Hindari membuka mulut terlalu lebar (menguap berlebih, gigit makanan besar); 2. Hindari makanan keras dan kenyal (daging alot, permen karet); 3. Kompres hangat area rahang 15 mnt/hari; 4. Kurangi stres","Ibuprofen 400mg setelah makan jika ada nyeri (max 3x/hari, max 3 hari); Paracetamol 500mg sebagai alternatif","Jika mulut mendadak tidak bisa dibuka/ditutup penuh (terkunci), disertai nyeri hebat → BAHAYA",YA,Bruxism (menggerus gigi saat tidur) adalah penyebab umum — tanyakan pasien apakah sering sakit kepala pagi hari
89,Rahang Bunyi / Klik saat Buka Mulut,Mulut mendadak terkunci tidak bisa dibuka atau tidak bisa ditutup; disertai nyeri hebat; riwayat trauma rahang,BAHAYA,STOP — Jangan rekomendasikan apapun,-,⚠️ SEGERA ke IGD atau dokter gigi / spesialis bedah mulut — kemungkinan dislokasi sendi temporomandibular (TMJ) yang memerlukan reposisi manual,SELALU,-
90,Mulut Kering,Mulut terasa kering; air liur sedikit; sering haus; bau mulut; kesulitan menelan makanan kering; tidak ada obat-obatan baru,RINGAN,"1. Minum air putih sedikit tapi sering (setiap 30 menit); 2. Hindari kafein, alkohol, dan rokok; 3. Gunakan humidifier di kamar tidur; 4. Kunyah permen karet xylitol untuk stimulasi air liur",Permen karet xylitol (tanpa gula); Semprotan air liur buatan (Artificial Saliva spray) jika tersedia; Hindari obat kumur beralkohol,"Jika mulut kering disertai mata kering, nyeri sendi, dan kelelahan → kemungkinan Sjögren's Syndrome → rujuk dokter",YA,"Lansia: mulut kering sering efek samping obat (antihistamin, diuretik, antidepresan) — review daftar obat bersama dokter; Penderita diabetes: mulut kering bisa tanda gula tidak terkontrol"
